Ticker,Navn,Marked,Hjemstat,Primær/sekundær notering,Norske tilbudsregler,Delt tilbudsmyndighet/lovvalg
BGBIO,BerGenBio ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BIONOR,Bionor Pharma ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BIOTEC,Biotec Pharmacon ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BIRD,Birdstep Technology ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BON,Bonheur ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BOR,Borgestad ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BDRILL,Borr Drilling Limited,Oslo Børs,Norway,Primærnotert,JA/Yes,
BRG,Borregaard ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BOUVET,Bouvet ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BWLPG,BW LPG Limited,Oslo Børs,Norway,Primærnotert,JA/Yes,
BWO,BW Offshore Limited,Oslo Børs,Norway,Primærnotert,JA/Yes,
BMA,Byggma ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
COV,ContextVision AB,Oslo Børs,Sweden,Primærnotert,JA/Yes,JA (SE) /Yes
CXENSE,Cxense ASA,Oslo Børs,Norway,Primærnotert,Ja/Yes,
DAT,Data Respons ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
DNB,DNB  ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
DNO,DNO ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
DOF,DOF ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
EAM,EAM Solar ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
EIOF,Eidesvik Offshore ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
EKO,Ekornes ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
EMGS,Electromagnetic Geoservices ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
EMAS,EMAS Offshore Limited,Oslo Børs,Norway,Primærnotert,JA/Yes,
ENTRA,Entra ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
EPR,Europris ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
FJORD,Fjord1 ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
FLNG,FLEX LNG LTD,Oslo Børs,Norway,Primærnotert,JA/Yes,
FOE,Fred. Olsen Energy ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
FRO,Frontline Ltd.,Oslo Børs,Norway,Sekundærnotert,Nei/No,
FUNCOM,Funcom N.V.,Oslo Børs,Netherlands,Primærnotert,JA/Yes,JA (NL) /Yes
GIG,Gaming Innovation Group Inc.,Oslo Børs,Norway,Primærnotert,JA/Yes,
RISH,GC Rieber Shipping ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
GJF,Gjensidige Forsikring ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
GOGL,Golden Ocean Group Ltd.,Oslo Børs,Norway,Sekundærnotert,Nei/No,
GOD,Goodtech ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
GSF,Grieg Seafood ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
GYL,Gyldendal ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
HFISK,Havfisk ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
HAVI,Havila Shipping ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
HYARD,Havyard Group ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
HEX,Hexagon Composites ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
HIDDN,Hiddn Solutions ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
HBC,Hofseth BioCare ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
HUGO,Hugo Games A/S,Oslo Axess,Denmark,Primærnotert,JA/Yes,JA (DK)/Yes
HUNT,Hunter Group ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
HLNG,Höegh LNG Holdings Ltd,Oslo Børs,Norway,Primærnotert,JA/Yes,
IMSK,I.M. Skaugen SE,Oslo Børs,Norway,Primærnotert,JA/Yes,
IDEX,IDEX ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
INC,Incus Investor ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
INSR,Insr Insurance Group ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
IOX,InterOil Exploration and Production ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
ITX,Intex Resources ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
ITE,Itera ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
JIN,Jinhui Shipping and Transportation Limit,Oslo Børs,Norway,Primærnotert,JA/Yes,
KID,KID ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
KIT,Kitron ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
KOA,Kongsberg Automotive Holding ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
KOG,Kongsberg Gruppen ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
KVAER,Kværner ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
LSG,Lerøy Seafood Group ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
LINK,Link Mobility ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
MSEIS,Magseis ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
MHG,Marine Harvest ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
MEDI,Medi-Stim ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
MULTI,Multiconsult ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NAPA,Napatech A/S,Oslo Børs,Denmark,Primærnotert,JA/Yes,JA (DK) /Yes
NATTO,NattoPharma ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
NAVA,Navamedic ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NEL,NEL ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NEXT,Next Biometrics Group ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NGT,NextGenTel Holding ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NOM,Nordic Mining ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
NANO,Nordic Nanovector ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NOD,Nordic Semiconductor ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NHY,Norsk Hydro ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NSG,Norske Skogindustrier ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NORTH,North Energy ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
